variable,count
depth_reading_10242bdws_a_z1_qc_agg,1
depth_reading_10242bdws_a_z1_qc_tests,1
depth_reading_10242cdws_a_z1,2
depth_reading_10242cdws_a_z1_qc_agg,1
depth_reading_10242cdws_a_z1_qc_tests,1
depth_reading_10272aysi_a,2
depth_reading_10272bysi_a,2
depth_reading_10272cysi_a,2
depth_reading_10273adws_a_z1,2
depth_reading_10273bdws_a_z1,2
depth_reading_10273cdws_a_z1,2
depth_reading_10283aexo_a,2
depth_reading_10283bexo_a,2
depth_reading_10283cexo_a,2
depth_reading_10283dexo_a,2
depth_reading_10284adws_a_z1,2
depth_reading_10284bdws_a_z1,2
depth_reading_10284cdws_a_z1,2
depth_reading_10292aexo_a,2
depth_reading_10292aexo_a_qc_agg,1
depth_reading_10292aexo_a_qc_tests,1
depth_reading_10292bexo_a,2
depth_reading_10292bexo_a_qc_agg,1
depth_reading_10292bexo_a_qc_tests,1
depth_reading_10292cexo_a,2
depth_reading_10292cexo_a_qc_agg,1
depth_reading_10292cexo_a_qc_tests,1
depth_reading_10293adws_a_z1,2
depth_reading_10293adws_a_z1_qc_agg,1
depth_reading_10293adws_a_z1_qc_tests,1
depth_reading_10293bdws_a_z1,1
depth_reading_10293cdws_a_z1,2
depth_reading_10293cdws_a_z1_qc_agg,1
depth_reading_10293cdws_a_z1_qc_tests,1
depth_reading_10302aysi_a,2
depth_reading_10302bysi_a,2
depth_reading_10302cysi_a,2
depth_reading_10491dws_a_z1,2
depth_reading_10501dws_a_z1,2
depth_reading_10511dws_a_z1,2
depth_reading_10521dws_a_z1,2
depth_reading_10591dwvs_cal_z1,2
depth_reading_10634dws_a_z1,2
depth_reading_10691dwvs_cal_z1,2
depth_reading_10971aiqflow_a,1
depth_reading_10971aiqflow_a_qc_agg,1
depth_reading_10971aiqflow_a_qc_tests,1
depth_reading_10971biqflow_a,1
depth_reading_10971biqflow_a_qc_agg,1
depth_reading_10971biqflow_a_qc_tests,1
depth_reading_10971ciqflow_a,1
depth_reading_10971ciqflow_a_qc_agg,1
depth_reading_10971ciqflow_a_qc_tests,1
depth_reading_10971diqflow_a,1
depth_reading_10971diqflow_a_qc_agg,1
